"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type","SPID"
"Li et al. 2011","ES33","CC14","China (Zhejiang, Zhenhai and Beilun)","Dengbu","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,4.83205813586164,0.408510442178898,0.335520956064204,299,94,0.167824586575584,8.47297928419736e-05,122.318,29.868,0.611246858887101,1.12417805547468,1.14924991259028,0.3915125,-1.70720525993007,16.4728832244873,2.88466484719912,3.09642680373778,"","Island rule","SP10"
"Li et al. 2011","ES34","CC14","China (Zhejiang, Zhenhai and Beilun)","Fodu","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,5.34543312569087,0.408510442178898,0.48760760674802,299,99,0.268794669586663,0.000117488518279579,122.018,29.736,0.611246858887101,0.845098040014257,0.845160077651946,0.391640258789063,-2.03877913237768,16.556058883667,2.89704666497602,3.1004911573089,"","Island rule","SP10"
"Li et al. 2011","ES35","CC14","China (Zhejiang, Zhenhai and Beilun)","Huni","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,5.76683007547753,0.408510442178898,0.479949545112342,299,93,0.344674643809282,0.00010791709927998,122.185,29.793,0.611246858887101,0.136720567156407,1.0366688103001,0.35606962890625,-1.88555673896455,16.6010551452637,2.89329762064745,3.10157524625593,"","Island rule","SP10"
"Li et al. 2011","ES36","CC14","China (Zhejiang, Zhenhai and Beilun)","Jintang","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,4.02062849457078,0.408510442178898,0.394488786494364,299,96,-0.0160096730690384,0.000133717134074556,121.887,30.025,0.611246858887101,1.88309335857569,0.556423121371285,0.369833959960938,-1.83497391057296,16.3423938751221,2.90046384427496,3.08498357829911,"","Island rule","SP10"
"Li et al. 2011","ES37","CC14","China (Zhejiang, Zhenhai and Beilun)","Liuheng","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,4.33921068774415,0.408510442178898,0.302315179058407,299,98,0.060244556975859,8.29685460017537e-05,122.147,29.708,0.611246858887101,1.96731391828708,0.845160077651946,0.35606962890625,-1.88555673896455,16.6010551452637,2.89329762064745,3.10157524625593,"","Island rule","SP10"
"Li et al. 2011","ES38","CC14","China (Zhejiang, Zhenhai and Beilun)","Meishan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,3.94531802964179,0.408510442178898,0.319040689158697,299,99,-0.0349183384855401,9.94911434029889e-05,121.99,29.792,0.611246858887101,1.33965015761368,-0.300162274132754,0.375350048828125,-1.95206788237081,16.4115219116211,2.902648417179,3.10568046294581,"","Island rule","SP10"
"Li et al. 2011","ES39","CC14","China (Zhejiang, Zhenhai and Beilun)","Qushan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,4.28204014856403,0.408510442178898,0.354698420623702,299,100,0.0469816608349109,0.000102052766181144,122.355,30.444,0.611246858887101,1.77742682238931,1.76716328985603,0.387664770507813,-1.86985319681381,16.2876834869385,2.89710206509052,3.02596089986873,"","Island rule","SP10"
"Li et al. 2011","ES40","CC14","China (Zhejiang, Zhenhai and Beilun)","Sijiao","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,5.13428429328762,0.408510442178898,0.393981526917851,299,95,0.228492550120726,9.54204722360208e-05,122.453,30.713,0.611246858887101,1.34830486304816,1.42815099874445,0.314744482421875,-1.75942123676567,16.2655200958252,2.89397688113925,2.99295097134684,"","Island rule","SP10"
"Li et al. 2011","ES41","CC14","China (Zhejiang, Zhenhai and Beilun)","Taohua","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,4.21862332646202,0.408510442178898,0.428035017681303,299,99,0.0320609434549186,0.000137425770781903,122.232,29.818,0.611246858887101,1.61278385671974,0.944532020991981,0.361122216796875,-1.89658049072625,16.5482521057129,2.89062538683623,3.1012313867907,"","Island rule","SP10"
"Li et al. 2011","ES42","CC14","China (Zhejiang, Zhenhai and Beilun)","Xiaochangtu","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Rana limnocharis","Rana limnocharis","Both","SVL",4.08551546597652,5.88974924361818,0.408510442178898,0.441845082356415,299,100,0.365765518104658,8.97170956038164e-05,122.281,30.259,0.611246858887101,1.03342375548695,1.49277435325513,0.283958203125,-1.75876043687379,16.5188236236572,2.89730452279937,3.05994188806195,"","Island rule","SP10"
