"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type","SPID"
"Xu et al. 2013","ES166","CC64","China (Zhejiang province)","Dayushan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,6.60636191414899,0.316588048269014,0.437881263131815,125,27,0.373850445249189,0.000201517758528619,121.967,30.314,0.657601176389883,0.792391689498254,1.63145391596197,0.199661145019531,-1.55459526431493,16.2268409729004,2.89344271177867,3.04161764918109,"","Island rule","SP10"
"Xu et al. 2013","ES167","CC64","China (Zhejiang province)","Dengbu","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,5.63664118405218,0.316588048269014,0.770062845576651,125,44,0.215105687475504,0.000462992509075243,122.318,29.868,0.657601176389883,1.12417805547468,1.14924991259028,0.3915125,-1.70720525993007,16.4728832244873,2.88466484719912,3.09642680373778,"","Island rule","SP10"
"Xu et al. 2013","ES168","CC64","China (Zhejiang province)","Fodu","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,6.82420123634795,0.316588048269014,0.63811118099367,125,32,0.406292633363872,0.000312040745804016,122.018,29.736,0.657601176389883,0.845098040014257,0.845160077651946,0.391640258789063,-2.03877913237768,16.556058883667,2.89704666497602,3.1004911573089,"","Island rule","SP10"
"Xu et al. 2013","ES169","CC64","China (Zhejiang province)","Huni","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,6.70477684354016,0.316588048269014,0.516344883353093,125,29,0.38863756819217,0.000243313333988959,122.185,29.793,0.657601176389883,0.136720567156407,1.0366688103001,0.35606962890625,-1.88555673896455,16.6010551452637,2.89329762064745,3.10157524625593,"","Island rule","SP10"
"Xu et al. 2013","ES170","CC64","China (Zhejiang province)","Jintang","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,4.68414446424884,0.316588048269014,0.437106539980034,125,40,0.0300006214376699,0.000256501823095942,121.887,30.025,0.657601176389883,1.88309335857569,0.556423121371285,0.369833959960938,-1.83497391057296,16.3423938751221,2.90046384427496,3.08498357829911,"","Island rule","SP10"
"Xu et al. 2013","ES171","CC64","China (Zhejiang province)","Liuheng","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,4.47118753528857,0.316588048269014,0.397672130812051,125,38,-0.016528624698877,0.000246975358244932,122.147,29.708,0.657601176389883,1.96731391828708,0.845160077651946,0.35606962890625,-1.88555673896455,16.6010551452637,2.89329762064745,3.10157524625593,"","Island rule","SP10"
"Xu et al. 2013","ES172","CC64","China (Zhejiang province)","Meishan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,5.33091402561093,0.316588048269014,0.443584697933551,125,31,0.159340044566262,0.000262155097522751,121.99,29.792,0.657601176389883,1.33965015761368,-0.300162274132754,0.375350048828125,-1.95206788237081,16.4115219116211,2.902648417179,3.10568046294581,"","Island rule","SP10"
"Xu et al. 2013","ES173","CC64","China (Zhejiang province)","Qushan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,4.76968191550109,0.316588048269014,0.482820561998577,125,33,0.0480969524047336,0.000349316266244534,122.355,30.444,0.657601176389883,1.77742682238931,1.76716328985603,0.387664770507813,-1.86985319681381,16.2876834869385,2.89710206509052,3.02596089986873,"","Island rule","SP10"
"Xu et al. 2013","ES174","CC64","China (Zhejiang province)","Sijiao","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,4.8721505999234,0.316588048269014,0.268475540930264,125,57,0.0693527753534858,9.20753020308117e-05,122.453,30.713,0.657601176389883,1.34830486304816,1.42815099874445,0.314744482421875,-1.75942123676567,16.2655200958252,2.89397688113925,2.99295097134684,"","Island rule","SP10"
"Xu et al. 2013","ES175","CC64","China (Zhejiang province)","Taohua","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,4.97612455784956,0.316588048269014,0.492089007738907,125,48,0.0904687209550769,0.000242538058786516,122.232,29.818,0.657601176389883,1.61278385671974,0.944532020991981,0.361122216796875,-1.89658049072625,16.5482521057129,2.89062538683623,3.1012313867907,"","Island rule","SP10"
"Xu et al. 2013","ES176","CC64","China (Zhejiang province)","Xiaochangtu","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,6.35991232757467,0.316588048269014,0.361172866464278,125,28,0.33583192639379,0.000153982123833827,122.281,30.259,0.657601176389883,1.03342375548695,1.49277435325513,0.283958203125,-1.75876043687379,16.5188236236572,2.89730452279937,3.05994188806195,"","Island rule","SP10"
"Xu et al. 2013","ES177","CC64","China (Zhejiang province)","Xiashi","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,5.13081916293591,0.316588048269014,0.419234849145437,125,22,0.121082661428543,0.000342276035418328,122.26,29.743,0.657601176389883,1.22271647114758,1.12060683105677,0.354645043945313,-1.75885052652849,16.4318161010742,2.88477473136339,3.10183296230458,"","Island rule","SP10"
"Xu et al. 2013","ES178","CC64","China (Zhejiang province)","Xiushan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,5.08161581097105,0.316588048269014,0.35278385454611,125,35,0.111446618150994,0.000176507744552208,122.164,30.173,0.657601176389883,1.36172783601759,1.73640447090963,0.381020068359375,-1.92486069502781,16.4867877960205,2.89974945456458,3.08357067597008,"","Island rule","SP10"
"Xu et al. 2013","ES179","CC64","China (Zhejiang province)","Zhoushan","Amphibians","Anura","Dicroglossidae","Fejervarya limnocharis","Fejervarya limnocharis","Fejervarya limnocharis","Female","SVL",4.54570424895353,3.91322575213453,0.316588048269014,0.619221693241517,125,26,-0.149820631473395,0.00100185476008944,122.121,30.059,0.657601176389883,2.67089495352021,0.954290761701127,0.478612109375,-1.93870371041364,16.4111042022705,2.90208705528113,3.10209739847876,"","Island rule","SP10"
