"","Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Archipielago","Phylogeny","Data_source_type","imputed","SPID"
"857","Granjon and Cheylan 1990","ES858","CC365","Provance ","Riou","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",169.009150212972,178.713591759416,10.4629308298607,10.1564555227216,21,8,0.0558316216338216,0.000586220726163123,5.387133,43.176057,2.2279102181014,-0.0362121726544447,0.501196242027089,0.375972387695312,-1.97461733932265,15.1357183456421,2.71392531060883,2.76252851328762,"No","Conspecific","Island rule","No","SP170"
"858","Granjon and Cheylan 1990","ES859","CC372","Sardinia","Santa Maria (Sardinia)","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",128.748236086439,180.128589250568,6.49409341769331,10.2786944843149,6,9,0.335812141413793,0.000785836119843627,9.3753,41.2989,2.10974128770799,0.301029995663981,0.982316469692065,0.51837880859375,-1.85084951077675,16.9407997131348,2.7311562213374,2.65624197847941,"No","Conspecific","Island rule","No","SP170"
"859","Granjon and Cheylan 1990","ES860","CC369","Toscana","Sardinia","Mammals","Rodentia","Muridae","Rattus rattus","Rattus rattus","Rattus rattus","Omn","Both","Length",163.619864427396,128.748236086439,10.6811349972823,6.49409341769331,21,6,-0.239686998352613,0.000626965188632768,9.034,40.029,2.21383602847649,4.37717871299024,2.33041580275792,0.58357021484375,-1.73602243300022,14.6707763671875,2.7816091878622,2.79781594063974,"No","Conspecific","Island rule","No","SP170"
"860","Miller 1903a","ES861","CC373","Simular","Lasia","Mammals","Rodentia","Muridae","Rattus simalurensis","Rattus simalurensis","Rattus simalurensis","Omn","Both","Length",266.581121130339,323.858755835205,7.62971720277147,15.3189247811381,5,6,0.194628890190541,0.000536729402494143,96.635,2.1696,2.42582939009198,1.17609125905568,2.05690866092048,0.7194736328125,-1.51453765935394,26.729175567627,1.58339661610952,3.51884414261643,"No","Conspecific","No island rule","No","SP171"
"861","Miller 1903a","ES862","CC373","Simular","Siumat","Mammals","Rodentia","Muridae","Rattus simalurensis","Rattus simalurensis","Rattus simalurensis","Omn","Both","Length",266.581121130339,280.323909280259,7.62971720277147,15.0407034271633,5,4,0.0502671616553397,0.000883535478044235,96.3734,2.6523,2.42582939009198,0.602059991327962,1.04925679723223,0.587529150390625,-1.50789016439488,27.2979164123535,1.58129788220495,3.50482414851561,"No","Conspecific","No island rule","No","SP171"
"862","Chasen and Kloss 1931","ES863","CC374","Borneo","Banggi","Mammals","Rodentia","Sciuridae","Ratufa affinis","Ratufa affinis","Ratufa affinis","Omn","Male","Length",1036.13222908008,920.60438973752,33.3188146968975,14.7938668422335,4,3,-0.118219649206239,0.000344595549125652,117.18,7.27,3.01541518272133,2.64443858946784,1.08639542712425,0.81774609375,-1.63784540561402,27.254337310791,1.76274521010868,3.35478049883127,"No","Conspecific","No island rule","No","SP172"
"863","Lyon 1911","ES864","CC375","Borneo","Panebangan","Mammals","Rodentia","Sciuridae","Ratufa affinis","Ratufa affinis cothurnata","Ratufa affinis griseicollis","Omn","Both","Length",1038.08398419775,1311.34473669408,43.0549062879902,15.3702644137927,18,3,0.233676436163151,0.000141360872375607,109.253,-1.22,3.01623249069759,1.41497334797082,1.49137570310773,0.699338232421875,-1.41198742305848,26.5149097442627,1.53343773349177,3.50768724638527,"No","Conspecific","No island rule","No","SP172"
"864","Lyon 1911","ES865","CC375","Borneo","Laut","Mammals","Rodentia","Sciuridae","Ratufa affinis","Ratufa affinis ephippium","Ratufa affinis vittata","Omn","Both","Length",1090.73299502111,1231.22720257234,53.445280398161,3.07458996348573,17,5,0.121161454926284,0.000142479107617331,116.173,-3.661,3.03771845088089,3.31323429169472,0.342620042553348,0.7133521484375,-1.68534355593996,27.2896099090576,1.50316961993766,3.38370704523925,"No","Conspecific","No island rule","No","SP172"
"865","Lyon 1911","ES866","CC375","Borneo","Sebuku","Mammals","Rodentia","Sciuridae","Ratufa affinis","Ratufa affinis ephippium","Ratufa affinis vittata","Omn","Both","Length",1090.73299502111,1052.51632204565,53.445280398161,19.3272416164549,17,7,-0.0356661483931663,0.000189402750185439,116.384926,-3.488809,3.03771845088089,2.43933269383026,1.53251232929039,0.618662744140625,-1.8048893162711,27.2970962524414,1.47272184685346,3.40156422364327,"No","Conspecific","No island rule","No","SP172"
"866","Miller 1902","ES867","CC376","Sumatra","Lingga","Mammals","Rodentia","Sciuridae","Ratufa affinis","Ratufa affinis hypoleuca","Ratufa affinis notabilis","Omn","Both","Length",899.081850865242,1098.7579362628,16.3935745480923,22.8509334332772,3,2,0.200561595069797,0.00032708124115107,104.574,-0.163,2.95379923095567,2.94890176097021,1.86332880931919,0.715322802734375,-1.59314055079616,26.0523014068604,1.60819753145074,3.41034017435425,"No","Conspecific","No island rule","No","SP172"
