"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type","SPID"
"Pigot et al. 2020","ES47","CC29","India","Sri Lanka","Birds","Passeriformes","Alaudidae","Alauda gulgula","Alauda gulgula","Alauda gulgula","Omnivore","Male","Wing Length",30.8728048609823,27.9174388171736,0.566463936381843,1.89446760254084,4,4,-0.100624154023381,0.00123539815699461,80.714,7.74,1.48957608786597,4.8169700377573,1.95424733490676,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,"Conspecific","No island rule","SP23"
"Higgins 1999","ES48","CC30","Australia","Tasmania","Birds","Coraciiformes","Alcedinidae","Ceyx azureus","Alcedo azurea azurea","Alcedo azurea diemenensis","VertFishScav","Male","Weight",33.4,43.8,4.14,8.67,21,4,0.271077917399746,0.0105272009528514,146.75,-42,1.52374646681156,4.83506245100823,2.30103216713096,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Conspecific","No island rule","SP24"
"Pigot et al. 2020","ES50","CC31","France","Mallorca","Birds","Galliformes","Phasianidae","Alectoris rufa","Alectoris rufa","Alectoris rufa","PlantSeed","Male","Wing Length",122.131297086278,113.376770602359,5.53238914593424,2.68160709598623,4,2,-0.0743801461306504,0.000792705750243668,2.9951,39.7104,2.08682696951552,3.56110138364906,2.24055174422073,0.4811669921875,-2.0319027889097,15.6639108657837,2.75405040052569,2.77073037583745,"Conspecific","No island rule","SP25"
"Grant 1965","ES51","CC32","Nayarit (Mexico)","Tres Marias","Birds","Apodiformes","Trochilidae","Amazilia rutila","Amazilia rutila","Amazilia rutila","FruiNect","Both","Wing Length",10.6082097174432,16.8827490407647,0.41399006678466,0.54719896254232,59,45,0.464664130781137,4.91581886176218e-05,-106.552,21.609,1.02564209686651,2.16221180985945,1.93952424448053,0.59757080078125,-1.63151100901579,22.4930686950684,2.44078627667666,2.84530894848948,"Conspecific","No island rule","SP26"
"Pigot et al. 2020","ES53","CC33","Venezuela","Blanquilla","Birds","Psittaciformes","Psittacidae","Amazona barbadensis","Amazona barbadensis","Amazona barbadensis","PlantSeed","Male","Wing Length",293.68473320551,294.528234823785,8.39387258063344,5.957885435864,4,4,0.00286801632166724,0.000306520534015511,-64.5986,11.8533,2.46788137091186,1.80976166510713,2.11991870534778,0.35176533203125,-1.85849984664303,27.196683883667,1.91290126367168,2.74553542025091,"Conspecific","No island rule","SP27"
"Grant 1965","ES54","CC34","Nayarit (Mexico)","Tres Marias","Birds","Psittaciformes","Psittacidae","Amazona ochrocephala","Amazona ochrocephala","Amazona ochrocephala","PlantSeed","Both","Wing Length",280.151785298571,337.892039935246,5.47401958224806,10.6404843772973,7,44,0.187394889342271,7.70795377948476e-05,-106.552,21.609,2.44739339440254,2.16221180985945,1.93952424448053,0.59757080078125,-1.63151100901579,22.4930686950684,2.44078627667666,2.84530894848948,"Conspecific","No island rule","SP28"
"Pigot et al. 2020","ES56","CC35","Morocco","Boa Vista","Birds","Passeriformes","Alaudidae","Ammomanes cinctura","Ammomanes cinctura","Ammomanes cinctura","PlantSeed","Female","Wing Length",30.6557612214768,31.3096576132072,0.908446783239256,0.201851088746599,4,4,0.0211059871043672,0.000229931285490129,-22.8,16.1,1.48651210468058,2.80215775318696,2.75587561759197,0.111004614257813,-1.87569680003053,23.613374710083,2.2774213150238,1.83282814901564,"Conspecific","No island rule","SP29"
"Madeira 2018, King et al 2011","ES57","CC36","Congo","Sao Tome","Birds","Passeriformes","Nectariniidae","Anabathmis reichenbachii","Anabathmis newtonii","Anabathmis newtonii","Omnivore","Both","Wing Length",9.74605052170247,8.02673675781626,0.485568353394429,0.468869198695303,6,49,-0.194084064227192,0.000483341618173444,6.616,0.234,0.988828658352451,2.931457870689,2.37657878181941,0.69247353515625,-1.40605108208798,22.1624374389648,1.92771272279815,3.40989087473144,"Conspecific","No island rule","SP30"
"Madeira 2018, King et al 2011","ES58","CC36","Congo","Sao Tome","Birds","Passeriformes","Nectariniidae","Anabathmis reichenbachii","Anabathmis newtonii","Anabathmis newtonii","Omnivore","Both","Weight",8.8,6.78398716326531,1.72,0.762231078687982,6,49,-0.260186715203703,0.00662471627071766,6.616,0.234,0.944482672150169,2.931457870689,2.37657878181941,0.69247353515625,-1.40605108208798,22.1624374389648,1.92771272279815,3.40989087473144,"Conspecific","No island rule","SP30"
"Balham 1952","ES59","CC37","Australia","North Island (NZ)","Birds","Anseriformes","Anatidae","Anas platyrhynchos","Anas platyrhynchos ","Anas platyrhynchos ","Omnivore","Both","Weight",1674.89795918367,1204.57798165138,492.971464053193,164.469837627345,49,327,-0.329622960626615,0.00182496375133042,175.77,-38.53,3.22398835339473,5.05587122048443,3.2174842074226,0.77221298828125,-1.83911506355391,12.0418472290039,2.57434697777563,3.20831303329587,"Conspecific","No island rule","SP31"
"Balham 1952, Braithwaite and Miller 1975","ES60","CC38","SE Australia","North Island (NZ)","Birds","Anseriformes","Anatidae","Anas superciliosa","Anas superciliosa","Anas superciliosa","PlantSeed","Both","Weight",1064,1033.13793103448,156.688405063703,119.296251455296,200,232,-0.029434684976822,0.000165903781098577,175.77,-38.53,3.02694162795903,5.05587122048443,3.2174842074226,0.77221298828125,-1.83911506355391,12.0418472290039,2.57434697777563,3.20831303329587,"Conspecific","No island rule","SP32"
"Higgins, Peter and Steele 2001","ES61","CC39","s WA & s SA, Australia","Kangaroo","Birds","Passeriformes","Meliphagidae","Anthochaera carunculata","Anthochaera carunculata woodwardi","Anthochaera carunculata clelandi","FruiNect","Male","Wing Length",118.192050177306,122.330300373994,3.79458687411352,3.87392515136334,19,9,0.0344139211690416,0.000165677254769813,137.207,-35.819,2.07258826605253,3.64394591274807,1.13036593726521,0.543502099609375,-1.74527643091695,15.3680982589722,2.49982760692711,2.78986441037918,"Conspecific","No island rule","SP33"
"Higgins, Peter and Steele 2001","ES62","CC40","se Qld, Australia","Kangaroo","Birds","Passeriformes","Meliphagidae","Anthochaera chrysoptera","Anthochaera chrysoptera chrysoptera","Anthochaera chrysoptera halmaturina","FruiNect","Male","Weight",77,77.6,6.56,2.97,26,5,0.00776200533548911,0.000572127305754675,137.207,-35.819,1.88649072517248,3.64394591274807,1.13036593726521,0.543502099609375,-1.74527643091695,15.3680982589722,2.49982760692711,2.78986441037918,"Conspecific","No island rule","SP34"
