"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Phylogeny","Data_source_type","SPID"
"Pigot et al. 2020","ES906","CC476","Ethiopia","Madagascar","Birds","Passeriformes","Motacillidae","Motacilla clara","Motacilla clara","Motacilla flaviventris","Invertebrate","Both","Wing Length",27.005254345769,24.5663025946958,0.989737921010745,0.572347818822883,4,4,-0.0946557618072191,0.000471502666385836,46.69,-19.024,1.43144827198728,5.76855226966619,2.62325032443115,0.4362435546875,-2.07991707362871,20.3580513000488,2.31970847423504,3.17846964325927,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP415"
"Pigot et al. 2020","ES908","CC477","Costa Rica","Cuba","Birds","Passeriformes","Turdidae","Myadestes melanops","Myadestes melanops","Myadestes elisabeth","Omnivore","Male","Wing Length",28.9942949355111,28.535710668589,1.19050307776684,0.49627322901894,5,4,-0.0159427754383869,0.000412797572998659,-77.781,21.521,1.46231255232066,5.02450824385764,2.290036838508,0.62180009765625,-1.63190089159322,25.5158214569092,2.29131709321764,3.10858025893047,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP416"
"Pigot et al. 2020","ES910","CC478","Panama","Jamaica","Birds","Passeriformes","Turdidae","Myadestes melanops","Myadestes melanops","Myadestes genibarbis","Omnivore","Male","Wing Length",30.0101454530311,30.3319204826314,1.22973391481398,0.856672967747077,7,4,0.0106651330090131,0.000439297434229063,-77.285,18.1217,1.4772681003664,4.04107671971548,2.79934123880936,0.738866845703125,-1.92267973270903,24.0266151428223,2.03418517053893,3.24992889420156,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP416"
"Pigot et al. 2020","ES912","CC218","Papua New Guinea","Palau","Birds","Passeriformes","Monarchidae","Myiagra alecto","Myiagra alecto","Myiagra erythrops","Invertebrate","Both","Wing Length",27.9174388171736,14.5159957784753,0.979559256723791,0.385624176318214,4,4,-0.654000342245146,0.000484217992692942,134.5607,7.485,1.44587557302744,2.51982799377572,2.94200854935858,0.823773046875,-1.79504257549437,27.2658863067627,1.50044737769049,3.54330053506855,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP191"
"Pigot et al. 2020","ES914","CC218","Papua New Guinea","Chuuk","Birds","Passeriformes","Monarchidae","Myiagra alecto","Myiagra alecto","Myiagra oceanica","Invertebrate","Both","Wing Length",27.9174388171736,23.4445938399065,0.979559256723791,0.77314409764631,4,4,-0.174611612339366,0.000579665890956334,151.7833,7.4167,1.44587557302744,1.96880971391286,3.17318655988498,0.611972705078125,-1.58449677979618,27.5658473968506,1.17729497810368,3.53179813387537,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP191"
"Pigot et al. 2020","ES916","CC479","Australia","Fiji","Birds","Passeriformes","Monarchidae","Myiagra inquieta","Myiagra inquieta","Myiagra azureocapilla","Invertebrate","Both","Wing Length",34.626852665196,22.3542559442979,3.19214449028311,1.53620787545517,6,4,-0.437612744156969,0.00259705169591289,177.97,-17.796,1.53941301906157,4.01653194095727,3.41329993176249,0.73273017578125,-1.74651447710706,24.9796447753906,2.12780770938865,3.32211057623272,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP417"
"Pigot et al. 2020","ES918","CC480","Australia","Guadalcanal ","Birds","Passeriformes","Monarchidae","Myiagra ruficollis","Myiagra ruficollis","Myiagra ferrocyanea","Invertebrate","Both","Wing Length",16.1576025010149,15.8644926834486,0.484505467422201,0.813563727322828,4,4,-0.0183072345680794,0.000882255584313657,160.1833,-9.6167,1.20837691969197,3.72858913020319,2.98227168542942,0.8468953125,-1.60948775973961,24.9253005981445,1.46481123665284,3.45994404002679,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP418"
"Pigot et al. 2020","ES920","CC481","Colombia","Jamaica","Birds","Passeriformes","Tyrannidae","Myiarchus apicalis","Myiarchus apicalis","Myiarchus barbirostris","Omnivore","Male","Wing Length",30.0101454530311,18.5666128862176,0.964416947058772,1.47527244560833,2,3,-0.480170544611413,0.00262091612084385,-77.285,18.1217,1.4772681003664,4.04107671971548,2.79934123880936,0.738866845703125,-1.92267973270903,24.0266151428223,2.03418517053893,3.24992889420156,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP419"
"Pigot et al. 2020","ES922","CC482","Colombia","Jamaica","Birds","Passeriformes","Tyrannidae","Myiarchus cephalotes","Myiarchus cephalotes","Myiarchus stolidus","Invertebrate","Both","Wing Length",31.9718701088017,27.7131555759852,1.20569540678565,1.07407996810069,4,4,-0.14294922611029,0.00073105946451455,-77.285,18.1217,1.50476803990571,4.04107671971548,2.79934123880936,0.738866845703125,-1.92267973270903,24.0266151428223,2.03418517053893,3.24992889420156,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP420"
"Pigot et al. 2020","ES924","CC483","Colombia","Cuba","Birds","Passeriformes","Tyrannidae","Myiarchus panamensis","Myiarchus panamensis","Myiarchus sagrae","Omnivore","Male","Wing Length",33.5495712173092,27.1057091898093,0.964914841750003,0.226789779848464,3,2,-0.213279706019683,0.000310731411854268,-77.781,21.521,1.52568697400884,5.02450824385764,2.290036838508,0.62180009765625,-1.63190089159322,25.5158214569092,2.29131709321764,3.10858025893047,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP421"
"Pigot et al. 2020","ES926","CC484","Panama","Jamaica","Birds","Passeriformes","Tyrannidae","Myiarchus panamensis","Myiarchus panamensis","Myiarchus validus","Omnivore","Female","Wing Length",31.3096576132072,43.1923588662871,0.247328803715503,1.0030815135237,2,4,0.321737001612997,0.00016603433763112,-77.285,18.1217,1.49567831841513,4.04107671971548,2.79934123880936,0.738866845703125,-1.92267973270903,24.0266151428223,2.03418517053893,3.24992889420156,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP421"
"Pigot et al. 2020","ES928","CC485","Mexico","Puerto Rico","Birds","Passeriformes","Tyrannidae","Myiarchus yucatanensis","Myiarchus yucatanensis","Myiarchus antillarum","Invertebrate","Male","Wing Length",26.111228789648,26.9050236866878,0.111031531429855,0.988699742836622,2,4,0.029947579688001,0.000346640556929712,-66.505,18.217,1.41682731012269,3.95903184728253,2.8450986604345,0.7592880859375,-1.95938470219532,23.9313411712646,2.12047291084045,3.25726164011294,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP422"
"Pigot et al. 2020","ES930","CC486","Vietnam","Java","Birds","Passeriformes","Muscicapidae","Myiomela leucura","Myiomela leucura","Myiomela diana","Invertebrate","Both","Wing Length",32.8678173158729,25.7196806344667,2.55332456994659,0.855909097002682,4,4,-0.245237499657472,0.00178558834862108,107.5667,-6.95,1.51677086443616,5.14236944055135,2.53148019437709,0.578037841796875,-1.53148428213906,25.1530380249023,1.57611938331645,3.32056563345461,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP423"
"Pigot et al. 2020","ES932","CC487","Costa Rica","Jamaica","Birds","Passeriformes","Tyrannidae","Myiopagis viridicata","Myiopagis viridicata","Myiopagis cotta","Invertebrate","Both","Wing Length",11.4840635751634,14.7241383150782,1.36240272717794,0.669833142067428,4,4,0.248527911103942,0.0040359031158194,-77.285,18.1217,1.06009558806221,4.04107671971548,2.79934123880936,0.738866845703125,-1.92267973270903,24.0266151428223,2.03418517053893,3.24992889420156,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP195"
"Pigot et al. 2020","ES934","CC488","Malaysia","Sumatra","Birds","Passeriformes","Turdidae","Myophonus robinsoni","Myophonus robinsoni","Myophonus castaneus","Invertebrate","Male","Wing Length",99.6463397804783,86.9672599084337,1.40346957437293,7.77273926661176,3,2,-0.136095590295574,0.00406011128994956,101.6,-0.4,1.99846135078026,5.67541811299103,1.82608128465965,0.775979541015625,-1.33359423265362,25.9305744171143,1.51943769766952,3.39226356385173,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP424"
"Pigot et al. 2020","ES936","CC488","Malaysia","Sumatra","Birds","Passeriformes","Turdidae","Myophonus robinsoni","Myophonus robinsoni","Myophonus melanurus","Invertebrate","Male","Wing Length",99.6463397804783,60.4363460523297,1.40346957437293,4.32597331434545,3,3,-0.500036635439758,0.00177397560570893,101.6,-0.4,1.99846135078026,5.67541811299103,1.82608128465965,0.775979541015625,-1.33359423265362,25.9305744171143,1.51943769766952,3.39226356385173,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP424"
"Pigot et al. 2020","ES938","CC489","Malaysia","Borneo","Birds","Passeriformes","Timaliidae","Turdinus brevicaudatus","Napothera brevicaudata","Napothera crassa","Invertebrate","Male","Wing Length",11.4840635751634,16.1087228334773,0.270641098254684,0.358456441806885,2,3,0.338400617953132,0.0004427491249403,114,1,1.06009558806221,5.87113141195379,2.71600417881569,0.79960927734375,-1.55229701907953,25.0596599578857,1.37991262208345,3.5955034069751,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP425"
"Higgins, Peter and Steele 2001","ES939","CC490","Vic, Australia","King Island","Birds","Passeriformes","Meliphagidae","Nesoptilotis leucotis","Lichenostomus leucotis leucotis","Lichenostomus flavicolis","Invertebrate","Male","Weight",26.2,33.3,2.1,1.87,30,6,0.239797986219347,0.000739734005358467,143.983,-39.8666,1.41830129131975,3.04060234011407,1.93752290693622,0.607816455078125,-1.67055748897574,13.5845718383789,2.40037559565356,2.9906634605853,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP426"
"Higgins, Peter and Steele 2001","ES940","CC490","Vic, Australia","Tasmania","Birds","Passeriformes","Meliphagidae","Nesoptilotis leucotis","Lichenostomus leucotis leucotis","Lichenostomus flavicolis","Invertebrate","Both","Weight",24.625,31.2666666666667,3.40743305143329,4.76027485200873,40,33,0.238790380285918,0.00118108055484929,146.5,-42.1,1.39137623916965,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP426"
"Keast 1968","ES941","CC491","Australia","Tasmania","Birds","Passeriformes","Meliphagidae","Nesoptilotis leucotis","Meliphaga leucotis","Meliphaga flavicollis","Invertebrate","Male","Wing Length",41.3532836183422,44.5355465599405,0.974696894884326,2.24753175746185,9,10,0.0741358407259721,0.000316409122695615,146.5,-42.1,1.61651,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP426"
"Pigot et al. 2020","ES943","CC492","Malaysia","Luzon","Birds","Accipitriformes","Accipitridae","Spizaetus cirrhatus","Nisaetus cirrhatus","Nisaetus philippensis","VertFishScav","Female","Wing Length",1480.99640259912,947.104618802218,27.657118894156,17.2951902268503,2,2,-0.447060824225558,0.000341105882397865,121.093,16.311,3.17055400360342,5.04125447895671,2.92427980307881,0.72355791015625,-1.55286681989838,24.5723476409912,2.2310413824979,3.36814550512683,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP427"
"Pigot et al. 2020","ES945","CC493","India","Sri Lanka","Birds","Bucerotiformes","Bucerotidae","Ocyceros griseus","Ocyceros griseus","Ocyceros gingalensis","FruiNect","Male","Wing Length",266.924005045517,239.693451205229,6.38715045853045,7.57026860282916,3,2,-0.107603172317848,0.000689608195647435,80.714,7.74,2.4263876325736,4.8169700377573,1.95424733490676,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP428"
"Pigot et al. 2020","ES949","CC495","Australia","Timor","Birds","Passeriformes","Oriolidae","Oriolus flavocinctus","Oriolus flavocinctus","Oriolus melanotis","FruiNect","Male","Wing Length",97.8956675241235,93.8836449847158,0,0.517261531354416,2,3,-0.0418460982351039,1.01185719150913e-05,124.451,-9.649,1.9907634720687,4.45359503815515,2.65321347887312,0.621991357421875,-1.58061922407047,24.7098178863525,1.98372882194709,3.13471960245872,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP207"
"Pigot et al. 2020","ES951","CC496","Australia","New Guinea","Birds","Passeriformes","Orthonychidae","Orthonyx spaldingii","Orthonyx spaldingii","Orthonyx novaeguineae","Invertebrate","Male","Wing Length",75.3109344744637,27.7808775856601,0,0.497453282445111,2,3,-0.99727740902411,0.000106878764676218,141.814,-5.752,1.87685803645522,5.89528604782638,2.18469426933435,0.770036767578125,-1.43826127218963,22.6774826049805,1.75967712212158,3.70400175750796,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP429"
"Pigot et al. 2020","ES953","CC497","Malaysia","Java","Birds","Passeriformes","Cisticolidae","Orthotomus sericeus","Orthotomus sericeus","Orthotomus sepium","Invertebrate","Both","Wing Length",6.22451038035866,5.35096569650681,0.305848744169888,0.11577761828884,4,4,-0.151217736860768,0.000720628831323427,107.5667,-6.95,0.794105195531415,5.14236944055135,2.53148019437709,0.578037841796875,-1.53148428213906,25.1530380249023,1.57611938331645,3.32056563345461,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP430"
"Pigot et al. 2020","ES955","CC498","Malaysia","Mindanao","Birds","Passeriformes","Cisticolidae","Orthotomus sutorius","Orthotomus sutorius","Orthotomus cinereiceps","Invertebrate","Both","Wing Length",4.55558411997341,6.141802876332,0.261312272656579,0.125782429152638,4,4,0.298764567539373,0.000927422154169214,125.081,7.736,0.658544070401665,4.98913822421579,2.53782035389604,0.761584375,-1.59929272405331,26.0391368865967,1.84786827980811,3.37738794436473,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP208"
"Pigot et al. 2020","ES957","CC499","China","Ryukyu","Birds","Strigiformes","Strigidae","Otus sunia","Otus sunia","Otus elegans","Invertebrate","Male","Wing Length",97.8956675241235,154.194217052986,0.981733857298656,3.6495672675263,2,3,0.454310663064587,0.000237018915215255,127.9278,26.4794,1.9907634720687,3.08170007377456,2.71096396392535,0.483222998046875,-1.49092461609625,22.8974323272705,2.65055307551962,3.3202200942349,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP313"
"Pigot et al. 2020","ES958","CC500","Australia","Larat","Birds","Passeriformes","Pachycephalidae","Pachycephala rufiventris","Pachycephala rufiventris","Pachycephala arctitorquis","Invertebrate","Female","Wing Length",33.5495712173092,21.2949877076466,0.515642322839948,0.294384129743493,2,2,-0.454552356794234,0.000213664696429365,131.873,-7.15,1.52568697400884,2.33465476688324,2.37106971032943,0.737554443359375,-1.73633370555255,27.2276859283447,1.87688246237376,3.28159689772502,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP211"
"Pigot et al. 2020","ES960","CC500","Australia","Seram","Birds","Passeriformes","Pachycephalidae","Pachycephala rufiventris","Pachycephala rufiventris","Pachycephala griseonota","Invertebrate","Both","Wing Length",35.1731868310822,22.443926574312,1.34839045183237,0.65484350964952,4,4,-0.449264008204041,0.000580229831223846,129.447,-3.121,1.5462117189127,4.24189994804864,2.1461311377706,0.804841064453125,-1.4673542287288,24.6265048980713,1.8456761753637,3.52625637126594,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP211"
"Pigot et al. 2020","ES962","CC501","China","Palawan","Birds","Passeriformes","Paridae","Pardaliparus venustulus","Pardaliparus venustulus","Periparus amabilis","Invertebrate","Female","Wing Length",12.7221570919784,12.9789645215009,0.14391304102446,0.145652824074621,2,2,0.0199848069337071,0.000126949807802469,118.574,9.668,1.10456075390033,4.08596807704607,2.161370997359,0.712584814453125,-1.6510182741633,26.8827838897705,1.78894304871206,3.21063642489379,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP431"
"Pigot et al. 2020","ES964","CC501","China","Mindanao","Birds","Passeriformes","Paridae","Pardaliparus venustulus","Periparus venustulus","Periparus elegans","Invertebrate","Male","Wing Length",13.501868352035,11.847501152989,0,0.206916851412696,2,2,-0.130711100136739,0.000152513471862352,125.081,7.736,1.13039386914951,4.98913822421579,2.53782035389604,0.761584375,-1.59929272405331,26.0391368865967,1.84786827980811,3.37738794436473,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP431"
"Pigot et al. 2020","ES966","CC502","Australia","Tasmania","Birds","Passeriformes","Pardalotidae","Pardalotus rubricatus","Pardalotus rubricatus","Pardalotus quadragintus","Invertebrate","Female","Wing Length",13.634538573115,10.3967281896105,0.0751225938503148,0.104026777279991,2,3,-0.271115014870798,4.85500435764215e-05,146.5,-42.1,1.13464044491492,4.80317698254222,2.38021305126818,0.698959326171875,-1.94242661746699,8.77623271942139,2.51585998376426,3.16215030256729,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP432"
"Pigot et al. 2020","ES968","CC503","Sudan","Socotra","Birds","Passeriformes","Passeridae","Passer domesticus","Passer domesticus","Passer insularis","PlantSeed","Both","Wing Length",16.1576025010149,18.942474802047,0.401372502573007,0.38790050794543,4,4,0.159016062587953,0.000259105206414847,53.595,12.495,1.20837691969197,3.55711001984456,2.36530262140015,0.202597534179688,-1.95727385143734,24.9122791290283,2.13738800723291,2.04763126120543,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP214"
"Pigot et al. 2020","ES970","CC504","Sudan","Abd-al-Kuri","Birds","Passeriformes","Passerellidae","Passer shelleyi","Passer shelleyi","Passer hemileucus","PlantSeed","Both","Wing Length",16.9045452467758,16.6033318684769,0.260842796131474,0.844627953560485,4,2,-0.0179791450915178,0.00135345269519917,52.2383,12.1858,1.22800349219896,2.12385164096709,1.98137004240021,0.111168688964844,-1.98209404184108,25.0990695953369,2.09382586591264,1.76789760470954,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP433"
"Pigot et al. 2020","ES972","CC505","Guatemala","Jamaica","Birds","Columbiformes","Columbidae","Patagioenas fasciata","Patagioenas fasciata","Patagioenas caribaea","PlantSeed","Female","Wing Length",226.49303560645,269.052071713429,3.25138225733522,1.80303141897056,2,2,0.172190739435479,0.000125492276052863,-77.285,18.1217,2.35505485251137,4.04107671971548,2.79934123880936,0.738866845703125,-1.92267973270903,24.0266151428223,2.03418517053893,3.24992889420156,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP434"
"Pigot et al. 2020","ES974","CC506","Thailand","Flores (Indonesia)","Birds","Passeriformes","Campephagidae","Pericrocotus cinnamomeus","Pericrocotus cinnamomeus","Pericrocotus lansbergei","Invertebrate","Both","Wing Length",14.4470105729308,18.4597811321442,0.747823331244074,0.453095465885672,4,4,0.245106860284575,0.000820471268370781,120.7536,-8.6325,1.15977799062236,4.13161866434913,2.75587561759197,0.72051748046875,-1.61670800155136,24.8455181121826,1.85094355461946,3.27704936218067,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP221"
"Pigot et al. 2020","ES976","CC507","Australia","Norfolk Island","Birds","Passeriformes","Petroicidae","Petroica boodang","Petroica boodang","Petroica multicolor","Invertebrate","Both","Wing Length",20.2664850755643,16.1576025010149,0.257856241718986,0.352529509106164,4,4,-0.226577858175787,0.00015947875227082,167.953,-29.035,1.30677843321917,1.53907609879278,2.87215685569352,0.6346703125,-1.86282464636457,19.2796573638916,2.37142930993741,3.1177947710338,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP435"
"Pigot et al. 2020","ES978","CC508","India","Sri Lanka","Birds","Cuculiformes","Cuculidae","Rhopodytes tristis","Phaenicophaeus tristis","Phaenicophaeus pyrrhocephalus","Invertebrate","Both","Wing Length",151.916065256186,121.634640902477,7.70836091955684,8.15467434382786,4,4,-0.222306361259131,0.00176733001471041,80.714,7.74,2.181603703311,4.8169700377573,1.95424733490676,0.73955419921875,-1.81324836824573,25.914306640625,2.01435160562069,3.3175334789459,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP436"
"Pigot et al. 2020","ES980","CC509","Australia","New Britain","Birds","Passeriformes","Meliphagidae","Philemon buceroides","Philemon buceroides","Philemon cockerelli","FruiNect","Female","Wing Length",85.7560819378792,120.808924493488,2.04019329141183,5.68617328343869,2,3,0.34270315110905,0.00102144726581143,151.274,-5.374,1.93326493056197,4.56253076886226,1.9444876072867,0.82810947265625,-1.562217513585,23.9577484130859,1.72932108499627,3.58345682097451,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP437"
"Pigot et al. 2020","ES982","CC509","Australia","Seram","Birds","Passeriformes","Meliphagidae","Philemon buceroides","Philemon buceroides","Philemon subcorniculatus","FruiNect","Female","Wing Length",85.7560819378792,135.121320890722,2.04019329141183,1.94591961690156,2,3,0.45466603821783,0.000352129876787978,129.447,-3.121,1.93326493056197,4.24189994804864,2.1461311377706,0.804841064453125,-1.4673542287288,24.6265048980713,1.8456761753637,3.52625637126594,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP437"
"Pigot et al. 2020","ES984","CC510","Australia","Grande Terre","Birds","Passeriformes","Meliphagidae","Philemon corniculatus","Philemon corniculatus","Philemon diemenensis","Omnivore","Female","Wing Length",114.330200473927,63.971689837457,1.07775268980088,1.52026839378427,2,2,-0.580650117813774,0.000326811645059592,165.47,-21.481,2.05816096501237,4.2618573856299,3.1072103089403,0.68017119140625,-1.7574117847122,22.4548950195312,2.34451585656217,3.21679588218419,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP438"
"Pigot et al. 2020","ES987","CC512","Vietnam","Hainan","Birds","Passeriformes","Phylloscopidae","Phylloscopus ogilviegranti","Phylloscopus ogilviegranti","Phylloscopus hainanus","Invertebrate","Male","Wing Length",8.31422393182132,7.82887709237589,0.27866441538313,0,2,2,-0.0601486859908821,0.000561680824779317,109.842,19.229,0.919821717433202,4.51719589794997,1.23047446736116,0.67702998046875,-1.48228771957217,23.9309253692627,2.59292952692165,3.20272176405885,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP439"
"Pigot et al. 2020","ES989","CC513","Australia","Bougainville ","Birds","Passeriformes","Pittidae","Pitta iris","Pitta iris","Pitta anerythra","Invertebrate","Female","Wing Length",42.3982909855936,41.3532836183422,0,1.16947086072672,4,2,-0.0249562258062135,0.0003998792,155.3839,-6.2444,1.62734835115677,3.96931338438774,2.82866054088867,0.825817578125,-1.96592641403946,25.7330017089844,1.58402170774859,3.54130997498175,"Phylogeny: Jetz, W., Thomas, G. H., Joy, J. B., Hartmann, K., & Mooers, A. O. (2012). The global diversity of birds in space and time. Nature, 491(7424), 444-448.","No island rule","SP440"
