"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Migratory_status","Migratory_status_3","Phylogeny","Data_source_type"
"Mees 1969","ES46","CC16","Mainland Australia","Gaua","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops flavifrons gauensis","Omnivore",11.7489450347169,13.7947736302237,0.291332225901068,0.336801909236756,45,11,0.160526345702242,6.78546624409504e-05,167.516,-14.28,1.06999887204007,2.53402610605613,3.2953473683409,0.76712265625,-1.72223743451812,25.5758323669434,1.75373699094013,3.54811290506517,"dispersive migratory","partial dispersive migrant","","No island rule"
"Mees 1969","ES47","CC16","Mainland Australia","Heron Island","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis chlorocephalus","Omnivore",11.7489450347169,14.5851786770398,0.291332225901068,0.321978868673439,45,4,0.216242401704527,0.000135498420255907,151.915,-23.442,1.06999887204007,-0.537602002101044,1.8948751891238,0.47281533203125,-1.70936653437619,22.2797050476074,2.53446612013852,3.00474239841533,"dispersive migratory","partial dispersive migrant","","No island rule"
"Mees 1969","ES48","CC16","Mainland Australia","Lifou","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis melanops","Omnivore",11.7489450347169,13.212734663169,0.291332225901068,0.262588785031617,45,11,0.117417659452697,4.95702481057363e-05,167.238,-20.987,1.06999887204007,3.07813043080256,3.18327012846598,0.814644189453125,-1.99998522246982,23.2830600738525,2.34569797901658,3.1895496296457,"dispersive migratory","partial dispersive migrant","","No island rule"
"Mees 1969","ES49","CC16","Mainland Australia","Lifou","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops inornata","Omnivore",11.7489450347169,18.9500425981024,0.291332225901068,0.411735250284226,45,30,0.478042727166978,2.93996563868864e-05,167.238,-20.987,1.06999887204007,3.07813043080256,3.18327012846598,0.814644189453125,-1.99998522246982,23.2830600738525,2.34569797901658,3.1895496296457,"dispersive migratory","partial dispersive migrant","","No island rule"
"Mees 1969","ES50","CC16","Mainland Australia","Lopevi","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis vatensis","Omnivore",11.8719726956538,15.816148451898,0.24427364872143,0.177263740772662,27,3,0.286851085481025,5.7551277878521e-05,168.344,-16.512,1.07452288910236,1.46239799789896,3.29181290927221,0.624509716796875,-1.53830212853767,24.3785419464111,1.99421631545837,3.49565533192113,"dispersive migratory","partial dispersive migrant","","No island rule"
"Mees 1969","ES51","CC16","Mainland Australia","Lord Howe Island","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis tephropleura","Omnivore",11.7489450347169,11.6431373996047,0.291332225901068,0.27790681013477,45,15,-0.00904651024641741,5.16447115393426e-05,159.082,-31.558,1.06999887204007,1.16286299332193,2.75587561759197,0.555617529296875,-1.55504456814652,19.1541423797607,2.38969166427432,3.20210943433981,"dispersive migratory","partial dispersive migrant","","No island rule"
"Mees 1969","ES52","CC16","Mainland Australia","Loyalty islands (Maré and Ouvéa)","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis nigrescens","Omnivore",11.7489450347169,12.8297958772154,0.291332225901068,0.296069959488994,45,33,0.088006816417135,2.98011149555834e-05,167.975,-21.528,1.06999887204007,2.80733203929119,3.19589992902983,0.84213720703125,-1.84716477509292,22.6318130493164,2.36860159388894,3.18253449317015,"dispersive migratory","partial dispersive migrant","","No island rule"
"Mees 1969","ES53","CC16","Mainland Australia","Makura","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis vatensis","Omnivore",11.7489450347169,16.503650297287,0.291332225901068,0.168289626348777,45,3,0.339818134297457,4.8324039509056e-05,168.437,-17.136,1.06999887204007,0.278753600952829,1.51852710011734,0.620515283203125,-1.65589010211936,25.0957813262939,2.12362233274767,3.40091771465109,"dispersive migratory","partial dispersive migrant","","No island rule"
"Mees 1969","ES54","CC16","Mainland Australia","Malekula","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops flavifrons macgillivrayi","Omnivore",11.7489450347169,11.1792987281248,0.291332225901068,0.348223102228819,45,7,-0.0496997120905162,0.000152271556598735,167.542,-16.311,1.06999887204007,3.30984300471607,2.71600417881569,0.7613927734375,-1.69769287694194,25.2477016448975,2.02709665762485,3.44317154459988,"dispersive migratory","partial dispersive migrant","","No island rule"
"Mees 1969","ES55","CC16","Mainland Australia","Malekula","Birds","Passeriformes","Zosteropidae","Zosterops lateralis","Zosterops lateralis familiaris","Zosterops lateralis vatensis","Omnivore",11.8719726956538,15.4308626832404,0.24427364872143,0.484871996313377,27,2,0.262189187761871,0.000509357939424737,167.542,-16.311,1.07452288910236,3.30984300471607,2.71600417881569,0.7613927734375,-1.69769287694194,25.2477016448975,2.02709665762485,3.44317154459988,"dispersive migratory","partial dispersive migrant","","No island rule"
