Reference,ID,CommonControl,Mainland,Island,Class,Order,Family,Binomial,Species_main,Species_island,guild,Mean_m,Mean_i,sd_m,sd_i,N_m,N_i,RR,var,Long_i,Lat_i,logmass,Island_km2,Dist_near_mainland,NDVI,SDNDVI,tmean,tseas,prec,SPID
"Clegg, 2002",ES514,CC9,"Brisbane, Australia",New Zealand (South),Birds,Passeriformes,Zosteropidae,Zosterops lateralis,Zosterops lateralis familiaris,Zosterops lateralis lateralis,Omnivore,10.22,12.61,0.9,0.83,29,34,0.210143565,0.000394837,171.154,-43.382,1.009450896,5.177354664,3.217484207,0.554348096,-1.803140817,8.867570877,2.618282287,3.197528427,SP9
"Clegg, 2002",ES515,CC9,"Brisbane, Australia",Norfolk island,Birds,Passeriformes,Zosteropidae,Zosterops lateralis,Zosterops lateralis familiaris,Zosterops lateralis lateralis,Omnivore,10.22,11.78,0.9,0.67,29,34,0.142056593,0.000362558,167.953,-29.035,1.009450896,1.539076099,2.872156856,0.634670313,-1.862824646,19.27965736,2.37142931,3.117794771,SP9
"Clegg, 2002",ES516,CC9,"Brisbane, Australia",Norfolk island,Birds,Passeriformes,Zosteropidae,Zosterops lateralis,Zosterops lateralis familiaris,Zosterops tenuirostris,Omnivore,10.22,17.2,0.9,0.63,29,34,0.520562799,0.000306874,167.953,-29.035,1.009450896,1.539076099,2.872156856,0.634670313,-1.862824646,19.27965736,2.37142931,3.117794771,SP9
O'Connell et al 2019,ES517,CC7,Sulawesi,Oroho (Pulau Komponaone),Birds,Passeriformes,Zosteropidae,Zosterops chloris,Zosterops chloris,Zosterops chloris flavissimus,Omnivore,11.26,8.8,0.615,0.157,105,5,-0.246504901,9.21E-05,123.6198,-5.4187,1.051538391,1.120573931,1.626350634,0.727012646,-1.632718516,27.65151405,1.742719253,3.243186918,SP7
Andrade et al 2015,ES518,CC10,Portugal,Pico,Birds,Passeriformes,Sylviidae,Sylvia atricapilla,Sylvia atricapilla,Sylvia atricapilla,Omnivore,17.408,17.6,1.359,1.64,224,33,0.010969031,0.000290324,-28.33,38.479,1.240748878,2.648594174,3.214844113,0.747399805,-1.751975407,15.73591518,2.517089493,3.175520519,SP10
"Melo et al. 2010, Cox et al. 2011",ES519,CC22,Africa (Nigeria),Principe,Birds,Passeriformes,Turdidae,Turdus pelios,Turdus pielos,Turdus olivaceofuscus,Omnivore,65.28,82.5,0.852,0.707,516,2,0.234112583,3.70E-05,7.4,1.626,1.814780146,2.133538908,2.333650771,0.49614668,-1.473871846,25.16615486,1.89407536,3.319524532,SP18
O'Connell et al 2019,ES520,CC7,Sulawesi,Runduma,Birds,Passeriformes,Zosteropidae,Zosterops chloris,Zosterops chloris,Zosterops chloris,Omnivore,11.26,9.91,0.615,0.604,105,45,-0.127712274,0.00011096,124.3362,-5.3352,1.051538391,0.771587481,2.08278896,0.511361963,-1.600770528,27.64486504,1.759181539,3.233617887,SP7
McLaughlin and Roughgarden 1989,ES521,CC6,Puerto Rico,Saint Eustatius,Birds,Passeriformes,Mimidae,Margarops fuscatus,Margarops fuscatus,Margarops fuscatus,FruiNect,100.7,99.7,8.4,5,28,11,-0.009980123,0.000477151,-62.969,17.486,2.003029471,1.322219295,2.480970812,0.615729297,-1.667229772,26.27567863,2.048120937,3.078746752,SP6
McLaughlin and Roughgarden 1989,ES522,CC6,Puerto Rico,Saint Martin,Birds,Passeriformes,Mimidae,Margarops fuscatus,Margarops fuscatus,Margarops fuscatus,FruiNect,100.7,99.2,8.4,4.4,28,6,-0.015007785,0.000576401,-63.0496,18.0738,2.003029471,1.939519253,2.414088826,0.530204639,-1.871415201,26.41262627,1.975954591,3.009845912,SP6
Andrade et al 2015,ES523,CC10,Portugal,Santa Maria,Birds,Passeriformes,Sylviidae,Sylvia atricapilla,Sylvia atricapilla,Sylvia atricapilla,Omnivore,17.408,15.7,1.359,1.112,224,55,-0.103269158,0.000118419,-25.095,36.974,1.240748878,1.988558957,3.128076336,0.678362305,-1.852073486,16.99279594,2.480636297,2.928600672,SP10
Andrade et al 2015,ES524,CC10,Portugal,Sao Jorge,Birds,Passeriformes,Sylviidae,Sylvia atricapilla,Sylvia atricapilla,Sylvia atricapilla,Omnivore,17.408,17.6,1.359,1.361,224,17,0.010969031,0.000378964,-28.03,38.641,1.240748878,2.386891169,3.207903799,0.707116504,-1.666689465,17.05444336,2.488853508,3.117397258,SP10
Andrade et al 2015,ES525,CC10,Portugal,Sao Miguel,Birds,Passeriformes,Sylviidae,Sylvia atricapilla,Sylvia atricapilla,Sylvia atricapilla,Omnivore,17.408,18.8,1.359,1.953,224,33,0.076926999,0.000354228,-25.476,37.774,1.240748878,2.871975522,3.13290009,0.726108838,-2.057666598,16.70025826,2.472988393,3.037267085,SP10
"Madeira et al. 2018, Schifter et al 1998",ES526,CC23,Africa (Kenya),Sao Tome,Birds,Passeriformes,Cisticolidae,Prinia bairdii,Prinia bairdii,Prinia molleri,Invertebrate,14.038,9.673,2.363,0.863,8,48,-0.372429439,0.003707652,6.616,0.234,1.147305238,2.931457871,2.376578782,0.692473535,-1.406051082,22.16243744,1.927712723,3.409890875,SP19
"Madeira et al. 2018, Cox et al. 2011",ES527,CC24,Africa (Nigeria),Sao Tome,Birds,Passeriformes,Ploceidae,Ploceus cucullatus,Ploceus cucullatus,Ploceus sanctithomae,Omnivore,36.38,20.59,0.605,1.472,738,124,-0.569213652,4.16E-05,6.616,0.234,1.560862695,2.931457871,2.376578782,0.692473535,-1.406051082,22.16243744,1.927712723,3.409890875,SP20
"Madeira et al. 2018, Cox et al. 2011",ES528,CC24,Africa (Nigeria),Sao Tome,Birds,Passeriformes,Ploceidae,Ploceus cucullatus,Ploceus cucullatus,Ploceus grandis,Omnivore,36.38,61.603,0.605,3.943,738,54,0.526691398,7.62E-05,6.616,0.234,1.560862695,2.931457871,2.376578782,0.692473535,-1.406051082,22.16243744,1.927712723,3.409890875,SP20
"Melo et al. 2010, Cox et al. 2011",ES529,CC22,Africa (Nigeria),Sao Tome,Birds,Passeriformes,Turdidae,Turdus pelios,Turdus pielos,Turdus olivaceofuscus,Omnivore,65.28,86.2,0.852,6.95,516,24,0.277984467,0.000271189,6.616,0.234,1.814780146,2.931457871,2.376578782,0.692473535,-1.406051082,22.16243744,1.927712723,3.409890875,SP18
"Madeira 2018, King et al 2011",ES530,CC25,Congo,Sao Tome,Birds,Passeriformes,Nectariniidae,Anabathmis reichenbachii,Anabathmis newtonii,Anabathmis newtonii,Omnivore,8.8,6.593,1.72,0.477,6,49,-0.288743241,0.006473905,6.616,0.234,0.944482672,2.931457871,2.376578782,0.692473535,-1.406051082,22.16243744,1.927712723,3.409890875,SP21
"Clegg, 2002",ES531,CC9,"Brisbane, Australia",Tasmania,Birds,Passeriformes,Zosteropidae,Zosterops lateralis,Zosterops lateralis familiaris,Zosterops lateralis lateralis,Omnivore,10.22,11.78,0.9,0.89,29,34,0.142056593,0.000435299,146.5,-42.1,1.009450896,4.803176983,2.380213051,0.698959326,-1.942426617,8.776232719,2.515859984,3.162150303,SP9
Carrascal et al. 1994,ES532,CC26,Mainland Spain (Guadarrama),Tenerife,Birds,Passeriformes,Paridae,Cyanistes caeruleus,Parus caeruleus ogliastroe,Parus caeruleus teneriffae,Omnivore,10.3,10.3,0.96,0.25,14,12,0,0.000669591,-16.629,28.304,1.012837225,3.308350949,2.498311933,0.359321216,-1.959805859,17.14944077,2.470839823,2.509076,SP5
Dietzen et al. 2008,ES533,CC13,Morocco,Tenerife,Birds,Passeriformes,Paridae,Cyanistes caeruleus,Parus caeruleus,Parus caeruleus,Omnivore,9.8,10.9,0.4,0.7,4,10,0.106380404,0.000828916,-16.629,28.304,0.991226076,3.308350949,2.498311933,0.359321216,-1.959805859,17.14944077,2.470839823,2.509076,SP5
Grant 1979,ES534,CC27,Morocco,Tenerife,Birds,Passeriformes,Paridae,Cyanistes caeruleus,Parus caeruleus,Parus caeruleus,Omnivore,10.12,10.1,0.63,0.699,4,8,-0.00197824,0.001567575,-16.629,28.304,1.005180513,3.308350949,2.498311933,0.359321216,-1.959805859,17.14944077,2.470839823,2.509076,SP5
Andrade et al 2015,ES535,CC10,Portugal,Terceira,Birds,Passeriformes,Sylviidae,Sylvia atricapilla,Sylvia atricapilla,Sylvia atricapilla,Omnivore,17.408,16.4,1.359,1.199,224,23,-0.059648536,0.000259601,-27.204,38.729,1.240748878,2.602504915,3.190891997,0.733782324,-1.700206204,17.28443718,2.472142824,3.092457462,SP10
O'Connell et al 2019,ES536,CC7,Sulawesi,Tomia,Birds,Passeriformes,Zosteropidae,Zosterops chloris,Zosterops chloris,Zosterops chloris flavissimus,Omnivore,11.26,9.34,0.615,0.495,105,153,-0.18695037,4.68E-05,123.942,-5.749,1.051538391,1.728353782,1.951342377,0.618931885,-1.64098531,27.45944023,1.740244536,3.221231626,SP7
"O'Connell et al 2019, Clegg, 2002",ES537,CC28,"Brisbane, Australia",Wangi-wangi,Birds,Passeriformes,Zosteropidae,Zosterops lateralis,Zosterops lateralis familiaris,Zosterops Wangi-wangi white-eye,Omnivore,10.22,14.51,0.9,0.801,29,38,0.350491482,0.00034761,123.59,-5.3028,1.009450896,2.205745541,1.513896487,0.651014648,-1.649312025,27.59058952,1.744130238,3.260448239,SP9
