IOC3_1_Binomial,SpeciesID,IOC3_1_Order,IOC3_1_Family,IOC3_1_Genus,IOC3_1_Species,Taxonomic_Comments,Extinct_full,Extinct_partial,Marine_full,Marine_partial,Migr_dir_full,Migr_dir_partial,Migr_dir_local,Migr_disp_full,Migr_disp_partial,Migr_disp_local,Migr_altitudinal,Irruptive,Nomad_full,Nomad_partial,Nomad_local,Resid_full,Resid_partial,Unknown,Uncertain,Migratory_status_Comments,Triplechecked,Migratory_status,Migratory_status_2,Migratory_status_3
Ortalis_ruficauda,86,GALLIFORMES,Cracidae,Ortalis,ruficauda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"no information, presumably sedentary",0,resident,full resident,full resident
Ortalis_erythroptera,87,GALLIFORMES,Cracidae,Ortalis,erythroptera,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"no information, presumably sedentary",0,resident,full resident,full resident
Ortalis_wagleri,88,GALLIFORMES,Cracidae,Ortalis,wagleri,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"no information, presumably sedentary",0,resident,full resident,full resident
Ortalis_poliocephala,89,GALLIFORMES,Cracidae,Ortalis,poliocephala,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"no information, presumably sedentary",0,resident,full resident,full resident
Ortalis_canicollis,90,GALLIFORMES,Cracidae,Ortalis,canicollis,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary,0,resident,full resident,full resident
Ortalis_leucogastra,91,GALLIFORMES,Cracidae,Ortalis,leucogastra,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"no information, presumably sedentary",0,resident,full resident,full resident
Ortalis_guttata,92,GALLIFORMES,Cracidae,Ortalis,guttata,"in HBW Ortalis_guttata includes races squamata, araucuan and columbiana",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"no information, presumably sedentary",0,resident,full resident,full resident
Ortalis_araucuan,93,GALLIFORMES,Cracidae,Ortalis,araucuan,in HBW araucuan is race of Ortalis_guttata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary (text on guttata in HBW),0,resident,full resident,full resident
Ortalis_squamata,94,GALLIFORMES,Cracidae,Ortalis,squamata,in HBW squamata is race of Ortalis_guttata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary (text on guttata in HBW),0,resident,full resident,full resident
Ortalis_columbiana,95,GALLIFORMES,Cracidae,Ortalis,columbiana,in HBW columbiana is race of Ortalis_guttata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,presumably sedentary (text on guttata in HBW),0,resident,full resident,full resident
