"Reference","ID","CommonControl","Mainland","Island","Class","Order","Family","Binomial","Species_main","Species_island","guild","Sex","Measure","Mean_m","Mean_i","sd_m","sd_i","N_m","N_i","RR","var","Long_i","Lat_i","logmass","Island_km2","Dist_near_mainland","NDVI","SDNDVI","tmean","tseas","prec","Archipielago","Phylogeny","Data_source_type"
"Sargis et al. 2018","ES878","CC3","Mainland SE Asia","Singapore","Mammals","Scandentia","Tupaiidae","Tupaia glis","Tupaia glis","Tupaia glis","Inver","Both","Skull",289.234889896578,284.838228642778,7.73355970992208,7.28233942994994,81,16,-0.0153177254889235,4.9679301048152e-05,103.794,1.364,2.46125067996278,2.72916478969277,0.000434077479318593,0.492424560546875,-1.78454073953738,26.9373836517334,1.64546238067433,3.36334870969388,"No","Conspecific","Island rule"
"Hill 1960","ES879","CC32","Malay Peninsula","Singapore","Mammals","Scandentia","Tupaiidae","Tupaia glis","Tupaia glis","Tupaia glis","Inver","Unsexed","Length",174.122558149929,186.364338989286,8.63954549664276,4.92022334529406,146,16,0.0679441610584617,6.04260059090684e-05,103.794,1.364,2.24085503904036,2.72916478969277,0.000434077479318593,0.492424560546875,-1.78454073953738,26.9373836517334,1.64546238067433,3.36334870969388,"No","Conspecific","No island rule"
"Lyon 1913","ES880","CC77","Malay Peninsula","Singkep","Mammals","Scandentia","Tupaiidae","Tupaia glis","Tupaia glis","Tupaia glis","Inver","Female","Length",200.990269513578,210.590599201944,9.01904919831133,7.83729540503655,20,2,0.0466594640291078,0.000793187086065889,104.435,-0.487,2.30317503255058,2.87909587950007,1.57865066877421,0.762003564453125,-1.56514560363931,26.763557434082,1.5205144867267,3.41242863503716,"No","Conspecific","No island rule"
"Lyon 1913","ES881","CC408","Malay Peninsula","Singkep","Mammals","Scandentia","Tupaiidae","Tupaia minor","Tupaia minor","Tupaia minor","Inver","Female","Length",69.7094895067539,68.5620072628563,3.40669598428346,2.65142137461827,4,5,-0.0165979050484343,0.000896169635875384,104.435,-0.487,1.84329190234328,2.87909587950007,1.57865066877421,0.762003564453125,-1.56514560363931,26.763557434082,1.5205144867267,3.41242863503716,"No","Conspecific","No island rule"
"Nijman 2017, Brandon-Jones 1993","ES882","CC351","Java","Sipura","Mammals","Primata","Cercopithecidae","Presbytis comata","Presbytis comata","Presbytis potenziani","Herb","Both","Length",3194.52228080362,3423.16326075822,401.296583690647,140.414742811058,32,5,0.0691274978616533,0.000829650435492828,99.6746,-2.204,3.50440592154824,2.92685670894969,2.03342777671354,0.796183251953125,-1.54356075376642,25.940938949585,1.52996082308547,3.54159173568065,"No","Phylogeny: Brandon-Jones, D. The taxonomic affinities of the Mentawai Islands Sureli, Presbytis potenziani (Bonaparte, 1856)(Mammalia: Primata: Cercopithecidae). Raffles Bull Zool 41, 331-357 (1993).","No island rule"
"Hill 1960","ES883","CC2","Malay Peninsula","Sireh","Mammals","Rodentia","Muridae","Maxomys surifer","Maxomys surifer","Maxomys surifer","Omn","Unsexed","Length",209.911705872661,147.871052857296,13.5761028284763,7.51043275650049,96,2,-0.350346364564025,0.00133340515807172,98.431824,7.887878,2.32203665799235,0.905795880367869,-1.21467016498923,0.515604052734375,-1.88034284051014,27.675329208374,1.79885299512832,3.36181845824425,"No","Conspecific","No island rule"
"Miller 1903a","ES884","CC297","Simular","Siumat","Mammals","Rodentia","Muridae","Rattus simalurensis","Rattus simalurensis","Rattus simalurensis","Omn","Both","Length",266.581121130339,280.323909280259,7.62971720277147,15.0407034271633,5,4,0.0502671616553397,0.000883535478044235,96.3734,2.6523,2.42582939009198,0.602059991327962,1.04925679723223,0.587529150390625,-1.50789016439488,27.2979164123535,1.58129788220495,3.50482414851561,"No","Conspecific","No island rule"
"Ursin 1956","ES885","CC200","Jutland","Sjaelland","Mammals","Rodentia","Muridae","Apodemus flavicollis","Apodemus flavicollis","Apodemus flavicollis","Herb","Unsexed","Length",37.8280375000405,39.7227382324317,0.51416750000055,0.379033761759844,42,82,0.0488732146972614,5.50914033174762e-06,11.781,55.511,1.57781381089329,3.84701709793535,1.62325963061961,0.558803662109375,-1.3743139075983,8.40595626831055,2.80647687771835,2.77595599324367,"No","Conspecific","No island rule"
"Ursin 1956","ES886","CC114","Jutland","Sjaelland","Mammals","Rodentia","Muridae","Apodemus sylvaticus","Apodemus sylvaticus","Apodemus sylvaticus","Herb","Unsexed","Length",22.3631568313797,21.835905125922,0.172648070051592,0.334867012666021,113,34,-0.0238591813416917,7.44453687744358e-06,11.781,55.511,1.3495331094862,3.84701709793535,1.62325963061961,0.558803662109375,-1.3743139075983,8.40595626831055,2.80647687771835,2.77595599324367,"No","Conspecific","No island rule"
"Meiri et al 2006","ES887","CC201","Jutland","Sjaelland","Mammals","Carnivora","Mustelidae","Martes foina","Martes foina","Martes foina","Carn","Male","CBL",1721.23119240395,1566.09678490172,42.8542965153409,40.2506031458738,5,10,-0.0944534447378896,0.000190032058690963,11.781,55.511,3.23583920783009,3.84701709793535,1.62325963061961,0.558803662109375,-1.3743139075983,8.40595626831055,2.80647687771835,2.77595599324367,"No","Conspecific","Island rule"
