Class,Order,Family,Species,Measure,Allometry,BM_units,a,b,N,R2,Type,log,Note,Source,Note,") When the purpose of the study is not to estimate the parameters of a functional relationship, but simply to forecast or predict values of y for given x’s, use OLS in all cases. OLS is the only method that minimizes the squared residuals in y. The OLS regression line itself is meaningless. Do not use the standard error and confidence bands, however, unless x is known to be free of error (Sokal and Rohlf, 1995, p. 545, Table 14.3); this warning applies in particular to the 95% confidence intervals computed for OLS by this program"
Mammals,All,All,All,Skull,"log10(mass,g) = -2.8722  +3.1651*log10(Skull mm), r2 = 0.9801, own model, All species",g,-2.8722,3.1651,64,0.9801,OLS,log10,,Several. Own model,,
Mammals,Carnivora,All,All,Skull,"log10(mass,kg) = -7.767 +4.024*log10(Skull mm), r2 = 0.976, Carnivora. Figueirido et al. 2011",kg,-7.767,4.024,39,0.976,OLS,log10,,"Figueirido, B., Pérez-Claros, J. A., Hunt, R. M., & Palmqvist, P. (2011). Body mass estimation in amphicyonid carnivoran mammals: A multiple regression approach from the skull and skeleton. Acta Palaeontologica Polonica, 56(2), 225-247.",,
Mammals,Cetartiodactyla,All,All,Skull,"log10(mass,g) = -2.821 +3.1257*log10(Skull mm), r2 = 0.946, Fitch 2000",g,-2.821,3.1257,25,0.946,OLS,log10,,"Fitch, W. T. Skull dimensions in relation to body size in nonhuman mammals: the causal bases for acoustic allometry. Zoology-Analysis of Complex Systems 103, 40-58 (2000).",,
Mammals,Lagomorpha,All,All,Skull,"Lagomorpha: log10(BM,g) = -2.9998 +3.2846*log10(Skull, mm)",g,-2.9998,3.2846,17,0.9168,OLS,log10,,"Kraatz, B. P., Sherratt, E., Bumacod, N., & Wedel, M. J. (2015). Ecological correlates to cranial morphology in Leporids (Mammalia, Lagomorpha). PeerJ, 3, e844.",,
Mammals,Primata,All,All,Skull,"Primates: log10(BM,g) = -2.4628 +3.071*log10(Skull, mm) (Plavcan 2008)",g,-2.4628,3.0714,90,0.9161,OLS,log10,,"Plavcan, J. M. & Ruff, C. B. Canine size, shape, and bending strength in primates and carnivores. American Journal of Physical Anthropology: The Official Publication of the American Association of Physical Anthropologists 136, 65-84 (2008).",,
Reptiles,Testudines,All,All,SCL,"LOG10(Weight, g)= LOG10(SCL, mm)*2.677-3.855, own allometry, data from Regis and Meik 2017, N = 692, r2= 0.95",g,-3.5353,2.8872,692,0.9505,OLS,log10,,"Regis, K. W. & Meik, J. M. Allometry of sexual size dimorphism in turtles: a comparison of mass and length data. PeerJ 5, e2914 (2017).",,
Reptiles,Squamata,Agamidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*3.105-4.686, Feldman et al 2015",g,-4.686,3.105,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Anguidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*3.48-5.765, Feldman et al 2015",g,-5.765,3.48,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
Reptiles,Squamata,Boidae,All,SVL,"LOG10(Weight, g)= LOG10(SVL, mm)*2.776-5.500, Feldman and Meiri 2013",g,-5.5,2.776,,,,log10,,"Feldman, A. & Meiri, S. Length–mass allometry in snakes. Biological Journal of the Linnean Society 108, 161-172 (2013).",,
Reptiles,Squamata,Chamaeleonidae,All,SVL,"LOG10(Weight,g)= LOG10(SVL,mm)*2.680 - 3.997, Feldman et al. 2015",g,-3.997,2.68,,,,log10,,"Feldman, A., Sabath, N., Pyron, R. A., Mayrose, I. & Meiri, S. Body sizes and diversification rates of lizards, snakes, amphisbaenians and the tuatara. Global Ecology and Biogeography 25, 187-197 (2016).",,
